AWG,Bare Nominal,Resistance Nominal,Single Nominal,Double Nominal,Tripple Nominal,Feet per Lb
52,0.00078,17050,0.00093,0.00105,0.00123,540000
51,0.00088,13390,0.00103,0.00118,0.00133,428400
50,0.00099,10580,0.00113,0.00128,0.00143,339700
49.5,0.00105,9386,0.00117,0.00132,0.0015,299400
49,0.00111,8417,0.00124,0.00139,0.00156,269700
48.5,0.00117,7585,0.00131,0.00146,0.00164,241500
48,0.00124,6745,0.0014,0.00155,0.00175,213400
47.5,0.00132,5962,0.00148,0.00168,0.00188,189700
47,0.0014,5291,0.00157,0.00177,0.00197,169200
46.5,0.00148,4733,0.00165,0.00186,0.0021,150800
46,0.00157,4207,0.00173,0.00196,0.00221,134400
45.5,0.00166,3757,0.00183,0.00206,0.00231,119900
45,0.00176,3348,0.00192,0.00215,0.0024,106500
44.5,0.0019,2871,0.0021,0.00233,0.00255,91490
44,0.002,2589,0.0023,0.0025,0.0027,82600
43.5,0.0021,2346,0.0024,0.0026,0.00283,74900
43,0.0022,2137,0.0025,0.0027,0.00295,68300
42.5,0.0024,1793,0.0027,0.0029,0.00318,57340
42,0.0025,1652,0.0028,0.003,0.0033,52900
41.5,0.0026,1527,0.0029,0.0032,0.00345,48880
41,0.0028,1316,0.0031,0.0034,0.00365,42100
40.5,0.003,1145,0.0033,0.0037,0.0039,36710
40,0.0031,1073,0.0035,0.0038,0.00405,34400
39.5,0.0033,946.1,0.0037,0.004,0.00428,30340
39,0.0035,840.7,0.0039,0.0043,0.0045,27000
38.5,0.0037,752.1,0.0042,0.0046,0.0048,24130
38,0.004,643.3,0.0045,0.0049,0.0051,20600
37.5,0.0042,583.4,0.0047,0.0052,0.0054,18730
37,0.0045,508,0.005,0.0055,0.0057,16300
36.5,0.0047,465.7,0.0053,0.0057,0.00603,14950
36,0.005,411.4,0.0056,0.006,0.00635,13200
35.5,0.0053,366.1,0.0059,0.0064,0.00673,11760
35,0.0056,327.9,0.0062,0.0067,0.00705,10500
34.5,0.0059,295.3,0.0066,0.0071,0.00745,9490
34,0.0063,259,0.007,0.0075,0.00785,8320
33.5,0.0067,229,0.0074,0.008,0.00835,7360
33,0.0071,203.9,0.0078,0.0085,0.0088,6550
32.5,0.0075,182.7,0.0083,0.009,0.00938,5870
32,0.008,160.6,0.0088,0.0095,0.0099,5160
31.5,0.0084,145.6,0.0092,0.001,0.01043,4680
31,0.0089,129.7,0.0097,0.0105,0.01095,4170
30.5,0.0095,113.8,0.0104,0.0111,0.0118,3660
30,0.01,102.7,0.0109,0.0116,0.0124,3300
29.5,0.0106,91.43,0.0116,0.0123,0.0131,2940
29,0.0113,80.45,0.0123,0.013,0.0138,2590
28.5,0.0119,72.54,0.013,0.0137,0.0145,2290
28,0.0126,64.7,0.0137,0.0144,0.0152,2080
27.5,0.0134,57.2,0.0145,0.0152,0.01608,1840
27,0.0142,50.94,0.0153,0.0161,0.0169,1640
26.5,0.015,45.65,0.0161,0.0169,0.01787,1450
26,0.0159,40.89,0.017,0.0178,0.0188,1310
25.5,0.0169,36.18,0.018,0.0189,0.0199,1160
25,0.0179,32.24,0.019,0.0199,0.0209,1030
24.5,0.019,28.6,0.0202,0.0211,0.02216,915
24,0.0201,25.55,0.0213,0.0223,0.0233,818
23,0.0226,20.31,0.0239,0.0249,0.0259,647
22,0.0253,16.2,0.0266,0.0276,0.0287,516
21,0.0285,12.77,0.0298,0.031,0.0321,407
20,0.032,10.13,0.0335,0.0346,0.0358,323
19,0.0359,8.047,0.0373,0.0386,0.0398,250.6
18,0.0403,6.386,0.0418,0.0431,0.0444,199.2
17,0.453,5.054,0.0469,0.0482,0.0496,157.7
16,0.0508,4.019,0.0524,0.0539,0.0553,125.6
